رقم,الاسم بالعربي,الاسم بالإنجليزية,التصنيف,السعر,متوفر,الوصف
item-1,بنادول إكسترا,Panadol Extra,أدوية,68.0,متوفر,مسكن للآلام خفيف على المعدة وخافض للحرارة، يحتوي على باراسيتامول وكافيين.
item-2,كونجيستال أقراص,Congestal Tablets,أدوية,38.5,متوفر,مضاد للبرد، الرشح، الحساسية، والجيوب الأنفية.
item-3,أوجمنتين ١ جرام,Augmentin 1g,مضادات حيوية,105.0,متوفر,مضاد حيوي واسع المجال لعلاج الالتهابات البكتيرية.
item-4,سي ريتارد كبسولات,C-Retard Caps,فيتامينات ومكملات,28.0,متوفر,فيتامين سي ممتد المفعول لدعم المناعة والوقاية من نزلات البرد.
item-5,سيتافيل لوشن منظف للبشرة ٢٣٦ مل,Cetaphil Gentle Skin Cleanser 236ml,مستحضرات تجميل,420.0,متوفر,منظف لطيف وخالٍ من الصابون للبشرة الحساسة والجافة.
item-6,شامبو سانوسان للأطفال ٥٠٠ مل,Sanosan Baby Bath & Shampoo 500ml,أطفال,245.0,متوفر,شامبو وسائل استحمام بتركيبة طبيعية لطيفة لعين وبشرة الرضيع.
item-7,جهاز قياس ضغط الدم بيورير BM27,Beurer BM27 Blood Pressure Monitor,أجهزة ورعاية صحية,1850.0,متوفر,جهاز ديجيتال لقياس ضغط الدم من أعلى الذراع، دقة عالية وسهل الاستخدام.
item-8,شرائط وان تاتش سيليكت بلس ٥٠ شريط,OneTouch Select Plus 50 Strips,أجهزة ورعاية صحية,410.0,غير متوفر,شرائط اختبار نسبة السكر في الدم لمرضى السكري، دقة ونتائج سريعة.
item-9,بخاخ أنف أوتريفين للأطفال,Otrivin Pediatric Nasal Spray,أدوية,25.0,متوفر,بخاخ للأنف يساعد على إزالة الاحتقان ويسهل التنفس للأطفال.
item-10,كريم لاروش بوزيه إيفاكلار ديو+,La Roche-Posay Effaclar Duo+,مستحضرات تجميل,650.0,متوفر,علاج متكامل للبشرة المعرضة للشوائب وحب الشباب ومقاومة البقع.
item-11,حفاضات فاين بيبي مقاس ٤ كبير ٦٠ حفاضة,Fine Baby Diapers Size 4 Large 60 pcs,أطفال,295.0,متوفر,حفاضات عالية الامتصاص بتقنية لحماية بشرة الطفل من الالتهابات.
item-12,سنترم لوتين ٣٠ قرص,Centrum with Lutein 30 Tabs,فيتامينات ومكملات,350.0,غير متوفر,فيتامينات متعددة ومعادن متكاملة لدعم الحيوية والنشاط العام.
item-13,إيبوبروفين ٤٠٠ مجم,Ibuprofen 400mg,أدوية,55.0,متوفر,مسكن للآلام ومضاد للالتهابات.
item-14,باراسيتامول شراب للأطفال,Paracetamol Syrup Kids,أدوية,32.0,متوفر,خافض للحرارة ومسكن آمن للأطفال.
item-15,أموكسيسيلين ٥٠٠ مجم,Amoxicillin 500mg,مضادات حيوية,95.0,متوفر,مضاد حيوي لعلاج التهابات الجهاز التنفسي.
item-16,فيتامين د٣ ١٠٠٠ وحدة,Vitamin D3 1000 IU,فيتامينات ومكملات,120.0,متوفر,يدعم صحة العظام والمناعة.
item-17,زنك بلس كبسولات,Zinc Plus Capsules,فيتامينات ومكملات,85.0,متوفر,مكمل غذائي لدعم المناعة وصحة الشعر.
item-18,غسول نيتروجينا للبشرة الدهنية,Neutrogena Oil-Free Cleanser,مستحضرات تجميل,350.0,متوفر,منظف للبشرة الدهنية يقلل اللمعان والشوائب.
item-19,شامبو جونسون للأطفال ٣٠٠ مل,Johnson’s Baby Shampoo 300ml,أطفال,110.0,متوفر,شامبو لطيف للعين والبشرة الحساسة.
item-20,جهاز قياس السكر أكيو تشيك,Accu-Chek Glucometer,أجهزة ورعاية صحية,1650.0,متوفر,جهاز دقيق لقياس نسبة السكر في الدم.
item-21,مسكن دوليبران ٥٠٠ مجم,Doliprane 500mg,أدوية,60.0,متوفر,مسكن وخافض للحرارة.
item-22,كلاريتين أقراص,Claritin Tablets,أدوية,75.0,متوفر,مضاد للحساسية والاحتقان.
item-23,أزيثروميسين ٥٠٠ مجم,Azithromycin 500mg,مضادات حيوية,130.0,متوفر,مضاد حيوي لعلاج التهابات الجهاز التنفسي والجلد.
item-24,فيتامين ب كومبلكس,B-Complex Vitamins,فيتامينات ومكملات,95.0,متوفر,يدعم الطاقة وصحة الأعصاب.
item-25,أوميغا ٣ كبسولات,Omega-3 Capsules,فيتامينات ومكملات,180.0,متوفر,مكمل غذائي لصحة القلب والمخ.
item-26,كريم نيفيا سوفت,Nivea Soft Cream,مستحضرات تجميل,95.0,متوفر,ترطيب فوري للبشرة الجافة.
item-27,بودرة أطفال جونسون,Johnson’s Baby Powder,أطفال,75.0,متوفر,تحافظ على جفاف وراحة بشرة الطفل.
item-28,ميزان حرارة ديجيتال,Digital Thermometer,أجهزة ورعاية صحية,250.0,متوفر,لقياس درجة الحرارة بدقة وسرعة.
item-29,مسكن كيتوفان,Ketofan Tablets,أدوية,70.0,متوفر,مسكن قوي للآلام والالتهابات.
item-30,أقراص تلفاست,Telfast Tablets,أدوية,85.0,متوفر,مضاد للحساسية والاحتقان.
item-31,سيفيكسيم ٢٠٠ مجم,Cefixime 200mg,مضادات حيوية,140.0,متوفر,مضاد حيوي لعلاج التهابات المسالك البولية والجهاز التنفسي.
item-32,فيتامين هـ كبسولات,Vitamin E Capsules,فيتامينات ومكملات,110.0,متوفر,مضاد أكسدة يدعم صحة الجلد والشعر.
item-33,كالسيوم أقراص,Calcium Tablets,فيتامينات ومكملات,150.0,متوفر,يدعم صحة العظام والأسنان.
item-34,غسول غارنييه للبشرة,Garnier Face Wash,مستحضرات تجميل,220.0,متوفر,منظف للبشرة العادية والدهنية.
item-35,مناديل مبللة للأطفال,Baby Wet Wipes,أطفال,65.0,متوفر,مناديل ناعمة لتنظيف بشرة الطفل.
item-36,جهاز بخار للأطفال,Nebulizer Machine,أجهزة ورعاية صحية,1450.0,متوفر,جهاز استنشاق لعلاج مشاكل التنفس.
item-37,مسكن بروفين ٤٠٠ مجم,Brufen 400mg,أدوية,58.0,متوفر,مسكن وخافض للحرارة.
item-38,أقراص زيرتك,Zyrtec Tablets,أدوية,80.0,متوفر,مضاد للحساسية والاحتقان.
item-39,ميترونيدازول ٥٠٠ مجم,Metronidazole 500mg,مضادات حيوية,90.0,متوفر,مضاد حيوي لعلاج الالتهابات البكتيرية والطفيلية.
item-40,فيتامين ك٢,Vitamin K2,فيتامينات ومكملات,135.0,متوفر,يدعم صحة العظام والدورة الدموية.
item-41,ماغنسيوم أقراص,Magnesium Tablets,فيتامينات ومكملات,125.0,متوفر,يدعم صحة العضلات والأعصاب.
item-42,مسكن نابروكسين ٥٠٠ مجم,Naproxen 500mg,أدوية,72.0,متوفر,مسكن قوي للآلام المزمنة.
item-43,أقراص لورين,Lorin Tablets,أدوية,65.0,متوفر,مضاد للحساسية والاحتقان.
item-44,سيفترياكسون حقن,Ceftriaxone Injection,مضادات حيوية,160.0,متوفر,مضاد حيوي واسع المجال للحقن الوريدي.
item-45,فيتامين ب١٢ حقن,Vitamin B12 Injection,فيتامينات ومكملات,95.0,متوفر,يدعم تكوين الدم وصحة الأعصاب.
item-46,بيوتين كبسولات,Biotin Capsules,فيتامينات ومكملات,140.0,متوفر,مكمل لصحة الشعر والأظافر.
item-47,كريم أفين هيدراتينغ,Avene Hydrating Cream,مستحضرات تجميل,480.0,متوفر,ترطيب للبشرة الحساسة والجافة.
item-48,زيت جونسون للأطفال,Johnson’s Baby Oil,أطفال,90.0,متوفر,ترطيب وحماية لبشرة الطفل.
item-49,جهاز قياس ضغط أومرون,Omron Blood Pressure Monitor,أجهزة ورعاية صحية,2100.0,متوفر,جهاز دقيق وسهل الاستخدام لقياس الضغط.
item-50,مسكن كاتافلام ٥٠ مجم,Cataflam 50mg,أدوية,68.0,متوفر,مسكن للآلام وخافض للحرارة.
item-51,أقراص كلاريثرومايسين,Clarithromycin Tablets,مضادات حيوية,145.0,متوفر,مضاد حيوي لعلاج التهابات الجهاز التنفسي.
item-52,فيتامين سي فوار,Vitamin C Effervescent,فيتامينات ومكملات,75.0,متوفر,مكمل لدعم المناعة ونضارة البشرة.
item-53,فيتامين أ كبسولات,Vitamin A Capsules,فيتامينات ومكملات,115.0,متوفر,يدعم صحة العين والبشرة.
item-54,غسول بيوديرما للبشرة,Bioderma Face Wash,مستحضرات تجميل,360.0,متوفر,منظف للبشرة الحساسة والدهنية.
item-55,حليب أطفال نان ١,NAN Infant Formula 1,أطفال,420.0,متوفر,حليب صناعي مدعم للرضع من الولادة.
item-56,ميزان وزن ديجيتال,Digital Weight Scale,أجهزة ورعاية صحية,550.0,متوفر,ميزان دقيق لمتابعة الوزن.
item-57,مسكن فولتارين جل,Voltaren Gel,أدوية,95.0,متوفر,جل موضعي لتخفيف آلام المفاصل والعضلات.
item-58,أقراص أموكسيسيلين/كلافولانيك,Amoxicillin/Clavulanic Acid,مضادات حيوية,155.0,متوفر,مضاد حيوي لعلاج التهابات متنوعة.
item-59,فيتامين ب٦ أقراص,Vitamin B6 Tablets,فيتامينات ومكملات,85.0,متوفر,يدعم صحة الأعصاب والدم.
item-60,فيتامين ب٢ أقراص,Vitamin B2 Tablets,فيتامينات ومكملات,80.0,متوفر,يدعم إنتاج الطاقة وصحة الجلد.
item-61,كريم فيشي نورماديرم,Vichy Normaderm Cream,مستحضرات تجميل,520.0,متوفر,علاج للبشرة الدهنية المعرضة لحب الشباب.
item-62,حفاضات بامبرز مقاس ٣,Pampers Size 3,أطفال,310.0,متوفر,حفاضات عالية الامتصاص لحماية الطفل.
item-63,جهاز قياس نسبة الأكسجين,Oximeter Device,أجهزة ورعاية صحية,750.0,متوفر,لقياس نسبة الأكسجين في الدم.
item-64,مسكن أسبرين ٨١ مجم,Aspirin 81mg,أدوية,45.0,متوفر,مضاد للتجلط ومسكن خفيف.
item-65,أقراص دوكسيسايكلين,Doxycycline Tablets,مضادات حيوية,135.0,متوفر,مضاد حيوي لعلاج التهابات الجلد والجهاز التنفسي.
item-66,فيتامين ب٥ أقراص,Vitamin B5 Tablets,فيتامينات ومكملات,90.0,متوفر,يدعم صحة الجلد والشعر.
item-67,فيتامين ب١ أقراص,Vitamin B1 Tablets,فيتامينات ومكملات,88.0,متوفر,يدعم صحة الأعصاب والعضلات.
item-68,كريم كلين آند كلير,Clean & Clear Cream,مستحضرات تجميل,210.0,متوفر,علاج للبشرة المعرضة لحب الشباب.
item-69,شامبو موستيلا للأطفال,Mustela Baby Shampoo,أطفال,260.0,متوفر,شامبو لطيف لبشرة وشعر الطفل.
item-70,جهاز قياس حرارة بالأشعة,Infrared Thermometer,أجهزة ورعاية صحية,980.0,متوفر,لقياس الحرارة عن بعد بدقة.
item-71,مسكن باراسيتامول ٥٠٠ مجم,Paracetamol 500mg,أدوية,52.0,متوفر,مسكن وخافض للحرارة.
item-72,أقراص إريثرومايسين,Erythromycin Tablets,مضادات حيوية,125.0,متوفر,مضاد حيوي لعلاج التهابات الجلد والجهاز التنفسي.
item-73,فيتامين ب٧ أقراص,Vitamin B7 Tablets,فيتامينات ومكملات,92.0,متوفر,يدعم صحة الشعر والأظافر.
item-74,فيتامين ب٩ أقراص,Vitamin B9 Tablets,فيتامينات ومكملات,100.0,متوفر,يدعم تكوين الدم وصحة الحمل.
item-75,كريم نيتروجينا هيدراتينغ,Neutrogena Hydrating Cream,مستحضرات تجميل,330.0,متوفر,ترطيب للبشرة الجافة والحساسة.
item-76,مناديل فاين للأطفال,Fine Baby Wipes,أطفال,70.0,متوفر,مناديل ناعمة لتنظيف بشرة الطفل.
item-77,جهاز ضغط ديجيتال صغير,Compact Digital BP Monitor,أجهزة ورعاية صحية,1350.0,متوفر,جهاز صغير لقياس ضغط الدم بدقة.
item-78,مسكن كيتولاك حقن,Ketolac Injection,أدوية,85.0,متوفر,مسكن قوي للآلام الحادة.
item-79,أقراص ليفوفلوكساسين,Levofloxacin Tablets,مضادات حيوية,165.0,متوفر,مضاد حيوي لعلاج التهابات الجهاز البولي والتنفس.
item-80,فيتامين ب٣ أقراص,Vitamin B3 Tablets,فيتامينات ومكملات,95.0,متوفر,يدعم صحة الجلد والجهاز العصبي.
